状态,来源名称,页面分类,来源分区,来源ID,候选目标,审核决定,目标ID,审核备注,来源URL
需要人工审核,吞精,行为 (behavior),censored | uncensored,censored:u | uncensored:gre103,genre:cum_swallowing | genre:semen_swallowing,,,,https://www.javbus.com/genre/u | https://www.javbus.com/uncensored/genre/gre103
需要人工审核,貧乳・微乳,体型 (body_type) | 其他 (other),censored,censored:t | censored:jv,genre:petite_bust | genre:small_bust,,,,https://www.javbus.com/genre/t | https://www.javbus.com/genre/jv
需要人工审核,部活・マネージャー,其他 (other),censored,censored:ez,genre:club_activity | genre:manager_role,,,,https://www.javbus.com/genre/ez
需要人工审核,部下・同僚,其他 (other),censored,censored:ea,genre:subordinate | genre:colleague,,,,https://www.javbus.com/genre/ea
需要人工审核,娘・養女,其他 (other),censored,censored:e7,genre:daughter | genre:adopted_daughter,,,,https://www.javbus.com/genre/e7
需要人工审核,台湾モデル,其他 (other),censored,censored:jl,genre:model | sourceOnly:region_taiwan,,,,https://www.javbus.com/genre/jl
需要人工审核,お嬢様・令嬢,其他 (other),censored,censored:k8,genre:young_lady | genre:heiress,,,,https://www.javbus.com/genre/k8
需要人工审核,サイコ・スリラー,其他 (other),censored,censored:fa,genre:psychological | genre:thriller,,,,https://www.javbus.com/genre/fa
需要人工审核,ベスト、総集編,其他 (other),censored,censored:h2,workType:best_of | workType:compilation,,,,https://www.javbus.com/genre/h2
需要人工审核,ローション・オイル,其他 (other),censored,censored:gt,genre:lotion_play | genre:oil_play,,,,https://www.javbus.com/genre/gt
需要人工审核,花癡,主题 (theme),censored,censored:2t,genre:seductress,,,,https://www.javbus.com/genre/2t
需要人工审核,女優ベスト・総集編,主题 (theme),censored,censored:6i,workType:best_of | workType:compilation,,,,https://www.javbus.com/genre/6i
运行时歧义,手淫,行为 (behavior),uncensored,uncensored:gre090,genre:handjob | genre:masturbation,,,,https://www.javbus.com/uncensored/genre/gre090
尚未映射,側位內射,行为 (behavior),uncensored,uncensored:uc,,,,,https://www.javbus.com/uncensored/genre/uc
尚未映射,打飛機,行为 (behavior),uncensored,uncensored:gre105,,,,,https://www.javbus.com/uncensored/genre/gre105
尚未映射,打手槍,行为 (behavior),censored,censored:x,,,,,https://www.javbus.com/genre/x
尚未映射,打樁機,行为 (behavior),uncensored,uncensored:gre101,,,,,https://www.javbus.com/uncensored/genre/gre101
尚未映射,電動陽具,行为 (behavior),uncensored,uncensored:34,,,,,https://www.javbus.com/uncensored/genre/34
尚未映射,多人口交,行为 (behavior),uncensored,uncensored:gre111,,,,,https://www.javbus.com/uncensored/genre/gre111
尚未映射,二穴同入,行为 (behavior),uncensored,uncensored:gre109,,,,,https://www.javbus.com/uncensored/genre/gre109
尚未映射,翻白眼,行为 (behavior),uncensored,uncensored:12l,,,,,https://www.javbus.com/uncensored/genre/12l
尚未映射,肛内中出,行为 (behavior),censored,censored:6m,,,,,https://www.javbus.com/genre/6m
尚未映射,肛射,行为 (behavior),uncensored,uncensored:kv,,,,,https://www.javbus.com/uncensored/genre/kv
尚未映射,高潮,行为 (behavior),uncensored,uncensored:gre108,,,,,https://www.javbus.com/uncensored/genre/gre108
尚未映射,喝尿,行为 (behavior),uncensored,uncensored:14v,,,,,https://www.javbus.com/uncensored/genre/14v
