canonicalId,sourceId,idSource,idStatus,ja,zh-CN,en,sources,note
uniform,3i,,legacy-unscoped,制服,制服,Uniform,avsox;jav321;javbus;javlib,
uniform,tags?c3=58,javdb,provider-scoped-legacy-filter,Uniform,制服,Uniform,javdb,
office_lady,tags?c3=114,javdb,provider-scoped-legacy-filter,OL,白领,OL,avsox;jav321;javbus;javdb;javlib,
married_woman,uncensored-gre024,,legacy-unscoped,人妻,人妻,人妻,avsox;jav321;javbus;javlib,
married_woman,uncensored?c3=87,javdb,provider-scoped-legacy-filter,Married woman,人妻,Married woman,javdb,
mature,13,,legacy-unscoped,熟女,熟女,Mature Woman,jav321;javbus;javlib,
mature,tags?c4=15,javdb,provider-scoped-legacy-filter,Mature Woman,熟女,Mature Woman,javdb,
amateur,uncensored-gre023,,legacy-unscoped,素人,素人,素人,avsox;jav321;javbus;javlib,
amateur,tags?c7=88,javdb,provider-scoped-legacy-filter,Amateur,业余,Amateur,javdb,
big_bust,e,javbus,verified-public-api,巨乳,巨乳,Big Tits,avsox;jav321;javbus;javlib,"JAVBus API public example returns genres[{id:""e"", name:""巨乳""}]."
big_bust,tags?c4=17,javdb,provider-scoped-legacy-filter,Big Tits,巨乳,Big Tits,javdb,
small_bust,t,,legacy-unscoped,貧乳・微乳,贫乳・微乳,Small Tits,jav321;javbus,
small_bust,western?c1=2,javdb,provider-scoped-legacy-filter,Small Tits,贫乳,Small Tits,javdb,
slender,1f,,legacy-unscoped,スレンダー,苗条,Slender,avsox;jav321;javbus;javlib,
slender,tags?c4=65,javdb,provider-scoped-legacy-filter,Slender,苗条,Slender,javdb,
cosplay,1,,legacy-unscoped,コスプレ,角色扮演,Cosplay,avsox;jav321;javbus;javlib,
cosplay,tags?c3=43,javdb,provider-scoped-legacy-filter,Cosplay,角色扮演,Cosplay,javdb,
drama,4u,,legacy-unscoped,ドラマ,戏剧,Drama,jav321;javbus;javlib,
drama,uncensored-gre004,,legacy-unscoped,ドラマ・ストーリー,剧情,Drama,avsox;javbus,
drama,tags?c7=11,javdb,provider-scoped-legacy-filter,Drama,戏剧,Drama,javdb,
documentary,2n,,legacy-unscoped,ドキュメンタリー,纪录片,Documentary,jav321;javbus,
documentary,arda,,legacy-unscoped,ドキュメント,纪录片,Documentary,javlib,
