id,ja,zh-CN,en
uniform,制服,制服,Uniform
office_lady,OL,OL / 职场女性,Office Lady
married_woman,人妻,人妻,Married Woman
mature,熟女,熟女,Mature
amateur,素人,素人,Amateur
big_bust,巨乳,巨乳,Big Bust
small_bust,貧乳,贫乳,Small Bust
slender,スレンダー,苗条,Slender
cosplay,コスプレ,角色扮演,Cosplay
drama,ドラマ,剧情,Drama
documentary,ドキュメンタリー,纪录片,Documentary
lesbian,レズ,女同性题材,Lesbian
beautiful_girl,美少女,美少女,Beautiful Girl
pov,主観,主观视角,POV
squirting,潮吹き,潮吹,Squirting
blowjob,フェラ,口交,Blowjob
masturbation,オナニー,自慰,Masturbation
orgasm,アクメ・オーガズム,绝顶高潮,Orgasm
creampie,中出し,内射,Creampie
maid,メイド,女仆,Maid
nurse,看護婦・ナース,护士,Nurse
female_teacher,女教師,女教师,Female Teacher
abuse,凌辱,凌辱,Abuse
kissing,キス・接吻,接吻,Kissing
titjob,パイズリ,乳交,Titjob
cowgirl,騎乗位,骑乘位,Cowgirl
handjob,手コキ,手交,Handjob
facial,顔射,颜射,Facial
cum_swallowing,ごっくん,吞精,Cum Swallowing
anal,アナル,肛交,Anal
bondage,拘束,捆绑,Bondage
sm,SM,SM,S&M
voyeurism,盗撮・のぞき,偷窥,Voyeurism
