sourceId,ja,zh-CN,en,sourceGroup,canonicalId,idStatus
,アイドル・芸能人,偶像・艺人,,role-context,,unresolved
,アクメ・オーガズム,高潮・顶点,,role-context,,unresolved
,アスリート,运动员,,role-context,,unresolved
,姉・妹,姐姐・妹妹,,role-context,,unresolved
,イタズラ,恶作剧,,role-context,,unresolved
,インストラクター,指导员,,role-context,,unresolved
,ウェイトレス,女服务员,,role-context,,unresolved
,受付嬢,前台接待员,,role-context,,unresolved
,エステ,美容沙龙,,role-context,,unresolved
,OL,女白领,,role-context,,unresolved
,お母さん,母亲,,role-context,,unresolved
,女将・女主人,老板娘・女主人,,role-context,,unresolved
,幼なじみ,青梅竹马,,role-context,,unresolved
,お爺ちゃん,爷爷,,role-context,,unresolved
,お嬢様・令嬢,大小姐・名门千金,,role-context,,unresolved
,オタク,御宅族,,role-context,,unresolved
,オナサポ,自慰辅助,,role-context,,unresolved
,お姉さん,姐姐,,role-context,,unresolved
,お婆ちゃん,奶奶,,role-context,,unresolved
,叔母さん,伯母/舅妈,,role-context,,unresolved
,お姫様,公主,,role-context,,unresolved
,お風呂,浴室,,role-context,,unresolved
,女教師,女教师,,role-context,,unresolved
,女戦士,女战士,,role-context,,unresolved
,女捜査官,女搜查官,,role-context,,unresolved
,カーセックス,车震,,role-context,,unresolved
,格闘家,格斗家,,role-context,,unresolved
,カップル,情侣,,role-context,,unresolved
,家庭教師,家教,,role-context,,unresolved
,看護婦・ナース,护士,,role-context,,unresolved
,義母,继母,,role-context,,unresolved
,逆ナン,逆搭讪,,role-context,,unresolved
,キャバ嬢・風俗嬢,陪酒女郎・风俗女郎,,role-context,,unresolved
,ギャル,辣妹,,role-context,,unresolved
,キャンギャル,车模女郎,,role-context,,unresolved
,近親相姦,近亲相奸,,role-context,,unresolved
,くノ一,女忍者,,role-context,,unresolved
,極道・任侠,黑道・侠义,,role-context,,unresolved
,コンパニオン,陪同人员,,role-context,,unresolved
,時間停止,时间停止,,role-context,,unresolved
,主観,主观视角,,role-context,,unresolved
,女医,女医生,,role-context,,unresolved
,女王様,女王大人,,role-context,,unresolved
,職業色々,各种职业,,role-context,,unresolved
,女子アナ,女主播,,role-context,,unresolved
,女子校生,女高中生,,role-context,,unresolved
,女子大生,女大学生,,role-context,,unresolved
,ショタ,正太,,role-context,,unresolved
,白目・失神,翻白眼・失神,,role-context,,unresolved
,スチュワーデス,空姐,,role-context,,unresolved
,スワッピング・夫婦交換,交换伴侣・夫妇交换,,role-context,,unresolved
,性転換・女体化,性转换・女体化,,role-context,,unresolved
,セレブ,名流,,role-context,,unresolved
,チアガール,啦啦队女孩,,role-context,,unresolved
,ツンデレ,傲娇,,role-context,,unresolved
,デート,约会,,role-context,,unresolved
,盗撮・のぞき,偷拍・偷窥,,role-context,,unresolved
,ドール,人偶,,role-context,,unresolved
,寝取り・寝取られ・NTR,睡走・被睡・NTR,,role-context,,unresolved
,ノーパン,不穿内裤,,role-context,,unresolved
,ノーブラ,不穿胸罩,,role-context,,unresolved
,飲み会・合コン,酒会・联谊,,role-context,,unresolved
,ハーレム,后宫,,role-context,,unresolved
,バスガイド,巴士导游,,role-context,,unresolved
,花嫁,新娘,,role-context,,unresolved
,秘書,秘书,,role-context,,unresolved
,ビッチ,婊子,,role-context,,unresolved
,人妻・主婦,人妻・主妇,,role-context,,unresolved
,病院・クリニック,医院・诊所,,role-context,,unresolved
,ファン感謝・訪問,粉丝感谢・访问,,role-context,,unresolved
,部活・マネージャー,社团活动・经理,,role-context,,unresolved
,部下・同僚,部下・同事,,role-context,,unresolved
,不倫,婚外情,,role-context,,unresolved
,ヘルス・ソープ,保健・泡泡浴,,role-context,,unresolved
,変身ヒロイン,变身女英雄,,role-context,,unresolved
,ホテル,酒店,,role-context,,unresolved
,マッサージ・リフレ,按摩・反射疗法,,role-context,,unresolved
,ママ友,妈妈朋友,,role-context,,unresolved
,娘・養女,女儿・养女,,role-context,,unresolved
,胸チラ,露胸,,role-context,,unresolved
,メイド,女仆,,role-context,,unresolved
,面接,面试,,role-context,,unresolved
,モデル,模特,,role-context,,unresolved
,ヨガ,瑜伽,,role-context,,unresolved
,レースクィーン,赛车皇后,,role-context,,unresolved
,若妻・幼妻,年轻妻子・幼妻,,role-context,,unresolved
,アジア女優,亚洲女演员,,body-person,,unresolved
,巨尻,巨臀,,body-person,,unresolved
,筋肉,肌肉,,body-person,,unresolved
,小柄,娇小,,body-person,,unresolved
,黒人男優,黑人男演员,,body-person,,unresolved
,処女,处女,,body-person,,unresolved
,女装・男の娘,女装・伪娘,,body-person,,unresolved
,スレンダー,苗条,,body-person,,unresolved
,早漏,早泄,,body-person,,unresolved
,そっくりさん,相似的人,,body-person,,unresolved
,台湾モデル,台湾模特,,body-person,,unresolved
,長身,高个子,,body-person,,unresolved
,デカチン・巨根,大屌・巨根,,body-person,,unresolved
,童貞,处男,,body-person,,unresolved
,軟体,柔软身体,,body-person,,unresolved
,ニューハーフ,人妖,,body-person,,unresolved
,妊婦,孕妇,,body-person,,unresolved
,パイパン,无毛,,body-person,,unresolved
,白人女優,白人女演员,,body-person,,unresolved
,日焼け,晒痕,,body-person,,unresolved
,貧乳・微乳,贫乳・微乳,,body-person,,unresolved
,ふたなり,双性人,,body-person,,unresolved
,ぽっちゃり,丰满,,body-person,,unresolved
,ミニ系,迷你系,,body-person,,unresolved
,学生服,校服,,body-person,,unresolved
,競泳・スクール水着,竞泳・学校泳衣,,wardrobe,,unresolved
,コスプレ,角色扮演,,wardrobe,,unresolved
,セーラー服,水手服,,wardrobe,,unresolved
,体操着・ブルマ,体操服・布鲁玛,,wardrobe,,unresolved
,チャイナドレス,旗袍,,wardrobe,,unresolved
,ニーソックス,过膝袜,,wardrobe,,unresolved
,ネコミミ・獣系,猫耳・兽系,,wardrobe,,unresolved
,裸エプロン,裸体围裙,,wardrobe,,unresolved
,バニーガール,兔女郎,,wardrobe,,unresolved
,パンスト・タイツ,连裤袜・紧身衣,,wardrobe,,unresolved
,ビジネススーツ,商务套装,,wardrobe,,unresolved
,覆面・マスク,蒙面・口罩,,wardrobe,,unresolved
,ボディコン,紧身连衣裙,,wardrobe,,unresolved
