sourceId,ja,zh-CN,en,sourceGroup,canonicalId,idStatus
,アクメ・オーガズム,极致·性高潮,,主題,,unresolved
,不倫,出轨,,主題,,unresolved
,アジア,亚洲,,主題,,unresolved
,お風呂,洗浴,,主題,,unresolved
,エステ,美容院,,主題,,unresolved
,猟奇,奇异的,,主題,,unresolved
,巨乳フェチ,恋乳癖,,主題,,unresolved
,孕ませ,受孕,,主題,,unresolved
,カップル,情侣,,主題,,unresolved
,残虐表現,残忍画面,,主題,,unresolved
,寝取り、寝取られ,白天出轨,,主題,,unresolved
,ダンス,跳舞,,主題,,unresolved
,ダーク系,暗黑系,,主題,,unresolved
,泥酔,烂醉如泥的,,主題,,unresolved
,妄想,妄想,,主題,,unresolved
,エロス,性爱,,主題,,unresolved
,鬼畜系,魔鬼系,,主題,,unresolved
,ファン感謝・訪問,粉丝感谢,,主題,,unresolved
,フェチ,恋物癖,,主題,,unresolved
,フランス,法国,,主題,,unresolved
,友情,友谊,,主題,,unresolved
,ふたなり,双性人,,主題,,unresolved
,ゲイ,男同性恋,,主題,,unresolved
,温泉,温泉,,主題,,unresolved
,イメクラ,形象俱乐部,,主題,,unresolved
,近親相姦,乱伦,,主題,,unresolved
,罵倒,辱骂,,主題,,unresolved
a4hq,韓国,韩国,,主題,,verified-public-doc
,脚フェチ,恋腿癖,,主題,,unresolved
,レズ,女同性恋,,主題,,unresolved
,レズキス,女同接吻,,主題,,unresolved
,痴漢,性骚扰,,主題,,unresolved
,ナンパ,猎艳,,主題,,unresolved
,淫乱、ハード系,淫乱、真实,,主題,,unresolved
,ノーマル,正常,,主題,,unresolved
,全裸,全裸,,主題,,unresolved
,その他フェチ,其他恋物癖,,主題,,unresolved
,覗き,偷窥,,主題,,unresolved
,企画,企画,,主題,,unresolved
,イタズラ,恶作剧,,主題,,unresolved
,レイプ,强奸,,主題,,unresolved
,逆ナン,倒追,,主題,,unresolved
,学園もの,学校作品,,主題,,unresolved
,セクシー,性感的,,主題,,unresolved
,性転換・女体化,性转换・女体化,,主題,,unresolved
,ショタ,正太控,,主題,,unresolved
,奴隷,奴隶,,主題,,unresolved
,ヘルス・ソープ,泡沫浴,,主題,,unresolved
,スポーツ,运动,,主題,,unresolved
,M男,M男,,主題,,unresolved
,汗だく,流汗,,主題,,unresolved
,タレント,天赋,,主題,,unresolved
,触手,触手,,主題,,unresolved
,時間停止,时间停止,,主題,,unresolved
,話題作,主题工作,,主題,,unresolved
,旅行,旅行,,主題,,unresolved
,ツンデレ,蛮横娇羞,,主題,,unresolved
,処女,处女,,主題,,unresolved
,童貞,处男,,主題,,unresolved
,盗撮,偷窥,,主題,,unresolved
,青春,青年,,主題,,unresolved
,女子アナ,女主播,,キャラクター,,unresolved
,美少女,美少女,,キャラクター,,unresolved
,黒人男優,黑人演员,,キャラクター,,unresolved
,キャンギャル,展场女孩,,キャラクター,,unresolved
,花嫁、若妻,新娘、年轻妻子,,キャラクター,,unresolved
,バスガイド,车掌小姐,,キャラクター,,unresolved
,幼なじみ,童年朋友,,キャラクター,,unresolved
,コンパニオン,伴侣,,キャラクター,,unresolved
,コスプレイヤー,角色扮演者,,キャラクター,,unresolved
,令嬢,女儿,,キャラクター,,unresolved
,芸能人,艺人,,キャラクター,,unresolved
