id,ja,zh-CN,en,descriptionZh,communityGenreIds
adult_live_action,成人向け実写,成人实拍,Adult Live Action,,genre_000273
adult_animation,成人向けアニメ,成人动画,Adult Animation,,genre_000274
image_video,イメージビデオ,写真影像,Image Video,以形象、写真影像为主要定位,genre_000275
pink_film,ピンク映画,粉红电影,Pink Film,,genre_000276
original_work,オリジナル作品,原创作品,Original Work,,genre_000277
adaptation,原作もの,改编作品,Adaptation,,genre_000278
compilation,総集編,合集,Compilation,已有内容整理形成的合集,genre_000279
best_of,ベスト盤,精选集,Best-of Compilation,精选性质的汇编作品,genre_000280
omnibus,オムニバス,短篇合集,Omnibus,多个相对独立单元组合,genre_000281
solo,単体作品,单体作品,Single-performer Work,主要围绕单一主演人物的作品,genre_000282
co_starring,共演作品,共演作品,Co-starring Work,多位主要人物共同出演,genre_000283
vr,VR専用,VR专用,VR-only,VR 形式作品,genre_000284
three_d,3D,3D,3D,,genre_000285
pov_video,主観映像,主观视角影像,POV Video,,genre_000286
drama_production,ドラマ作品,剧情作品,Drama Production,,genre_000287
documentary_production,ドキュメンタリー作品,纪录片作品,Documentary Production,,genre_000288
interview,インタビュー,访谈,Interview,,genre_000289
instructional,How-to,教学,Instructional,,genre_000290
submitted_work,投稿作品,投稿作品,Submitted Work,,genre_000291
independent_production,自主制作,独立制作,Independent Production,,genre_000292
overseas_production,海外作品,海外作品,Overseas Production,,genre_000293
imported_work,輸入作品,进口作品,Imported Work,,genre_000294
for_women,女性向け,女性向,For Women,,genre_000295
for_men,男性向け,男性向,For Men,,genre_000296
doujin_work,同人作品,同人作品,Doujin Work,,genre_000297
uncensored,無修正,无码,Uncensored,,genre_000298
censored,モザイク,有码,Censored,,genre_000299
light_mosaic,薄消し,薄码,Light Mosaic,,genre_000300
subtitled,字幕付き,带字幕,Subtitled,,genre_000301
multilingual_subtitles,多言語字幕,多语言字幕,Multilingual Subtitles,,genre_000302
remastered,リマスター,重制,Remastered,,genre_000303
over_four_hours,4時間以上,4小时以上,Over Four Hours,,genre_000304
short_form,短編,短片,Short Form,,genre_000305
feature_length,長編,长片,Feature-length,,genre_000306
series_entry,シリーズ作品,系列作品,Series Entry,,genre_000307
concept_work,企画作品,企划作品,Concept Work,以明确企划或设定为核心的作品,genre_000012
other,その他,其他,Other,无法归入已知类型,
gravure,グラビア,写真,Gravure,写真、形象展示类内容,
multi_episode,複数話,多章节,Multi-episode,由多个章节或故事段组成,
reissue,復刻版,复刻版,Reissue,旧作重新发行或复刻,
simulation,シミュレーション,模拟,Simulation,模拟或交互式表现形式,
classic,クラシック,经典作品,Classic,来源明确标记为经典/旧作类别,
digital_mosaic,デジモ,数码马赛克,Digital Mosaic,数字马赛克处理的发行/制作类型,
